Wall time,Step,Value
1723067297.8283699,4,17.30051040649414
1723067310.1427987,5,17.301586151123047
1723067385.2359974,11,16.665048599243164
1723067435.6612728,15,16.455724716186523
1723067491.0482864,16,16.407508850097656
1723067669.4126668,19,15.802583694458008
1723067682.0501623,20,15.560301780700684
1723067740.965385,21,15.484915733337402
1723067859.5179145,23,15.374550819396973
1723067918.939806,24,15.211677551269531
1723068097.034184,27,14.6752290725708
1723068156.569884,28,14.492907524108887
1723068809.479298,39,11.489497184753418
1723068881.2650018,41,10.918878555297852
1723069297.1209676,48,9.305950164794922
1723069356.1000054,49,9.110184669494629
1723069415.3123071,50,8.931994438171387
1723069487.2726865,52,8.606215476989746
1723069525.159584,55,8.150833129882812
1723069563.2985802,58,7.751532554626465
1723069601.0176907,61,7.37172794342041
1723069613.8256083,62,7.263274192810059
1723069626.5152147,63,7.1544365882873535
1723069639.3841321,64,7.045351505279541
1723069664.7706933,66,6.830629348754883
1723069677.3914135,67,6.724770545959473
1723069689.8559227,68,6.6235480308532715
1723069702.504146,69,6.529958724975586
1723069727.7488043,71,6.343342304229736
1723069740.438216,72,6.254408836364746
1723069816.6466918,78,5.75593376159668
1723069841.8970442,80,5.610742568969727
1723069880.0127804,83,5.408797264099121
1723069918.0619898,86,5.213665008544922
1723069968.7349024,90,4.97711706161499
1723070095.9552252,100,4.468319416046143
1723070146.7934084,104,3.7646358013153076
1723070186.7713642,107,3.2708723545074463
1723070199.6729212,108,3.0952847003936768
1723070225.8317428,110,2.7957515716552734
1723070316.794709,117,1.6546427011489868
1723070380.9772384,122,1.0283945798873901
1723070432.2543314,126,0.5614309906959534
1723070444.707839,127,0.4635458290576935
1723070469.9480624,129,0.3051397502422333
1723070495.2587929,131,0.17216762900352478
1723070571.0467508,137,-0.05580536648631096
1723070583.7291818,138,-0.057677868753671646
1723070672.5460699,145,-0.04095705226063728
1723070697.6783564,147,-0.04473813250660896
1723070710.2956016,148,-0.034084342420101166
1723070747.8671355,151,-0.03375909477472305
1723070835.9939518,158,-0.06037057563662529
1723070873.638625,161,-0.06531024724245071
1723070898.9373255,163,-0.07177725434303284
1723070924.0559351,165,-0.06129980459809303
1723070999.6747715,171,-0.06262242048978806
1723071012.2107787,172,-0.06241518631577492
1723071025.2287276,173,-0.06412018090486526
1723071087.9898505,178,-0.04562399536371231
1723071139.3263752,182,-0.047634948045015335
1723071177.362432,185,-0.038561973720788956
1723071190.6957905,186,-0.04020671173930168
1723071203.3626482,187,-0.03461438789963722
1723071254.6256106,191,-0.038966089487075806
1723071267.2715628,192,-0.03944920748472214
1723071280.415915,193,-0.038112200796604156
1723071371.2759902,200,-0.05153752118349075
1723071409.584608,203,-0.04257985204458237
1723071422.325865,204,-0.04243911802768707
1723071435.049514,205,-0.04338608309626579
1723071447.7942698,206,-0.040712591260671616
1723071473.2888286,208,-0.04103813320398331
1723071524.2128851,212,-0.04239220917224884
1723071549.705142,214,-0.03136884793639183
1723071575.0843806,216,-0.038875602185726166
1723071626.1709306,220,-0.04831325262784958
1723071639.0487685,221,-0.03858545795083046
1723071651.8264983,222,-0.03742392361164093
1723071690.063006,225,-0.033456552773714066
1723071753.8851285,230,-0.02241748385131359
1723071881.6644416,240,-0.041999854147434235
1723071907.3497813,242,-0.03865676373243332
1723071945.830425,245,-0.06825295090675354
1723071958.5591588,246,-0.0652092769742012
1723071971.3223455,247,-0.058511629700660706
1723072073.7056499,255,-0.06281919777393341
1723072125.2259326,259,-0.0778408795595169
1723072138.345334,260,-0.07584527879953384
1723072151.0857568,261,-0.07013607770204544
1723072290.7939162,272,-0.09891858696937561
1723072328.6850197,275,-0.10297250002622604
