id	score6
seq_1	-2.245551586151123
seq_2	-2.2596540451049805
seq_3	-2.2478792667388916
seq_4	-2.2677974700927734
seq_5	-2.2659308910369873
seq_6	-2.2627267837524414
seq_7	-2.253918170928955
seq_8	-2.2462422847747803
seq_9	-2.2759974002838135
seq_10	-2.256251096725464
seq_11	-2.2596702575683594
seq_12	-2.267808437347412
seq_13	-2.267808437347412
seq_14	-2.240971088409424
seq_15	-2.2736475467681885
seq_16	-2.2894351482391357
seq_17	-2.267775774002075
seq_18	-2.2574355602264404
seq_19	-2.2664623260498047
seq_20	-2.248623847961426
seq_21	-2.2978453636169434
seq_22	-2.256096839904785
seq_23	-2.263744831085205
seq_24	-2.2783820629119873
seq_25	-2.2972753047943115
seq_26	-2.2936534881591797
seq_27	-2.273374557495117
seq_28	-2.246955156326294
seq_29	-2.272914409637451
seq_30	-2.2557930946350098
seq_31	-2.2488207817077637
seq_32	-2.3225367069244385
seq_33	-2.251612424850464
seq_34	-2.2786471843719482
seq_35	-2.2751986980438232
seq_36	-2.2751986980438232
seq_37	-2.2460520267486572
seq_38	-2.2742927074432373
seq_39	-2.288972854614258
seq_40	-2.2415127754211426
seq_41	-2.266620397567749
seq_42	-2.2572693824768066
seq_43	-2.251256227493286
seq_44	-2.265824317932129
seq_45	-2.264620780944824
seq_46	-2.2704017162323
seq_47	-2.2687771320343018
seq_48	-2.2853498458862305
seq_49	-2.2380495071411133
seq_50	-2.2666828632354736
seq_51	-2.277806282043457
seq_52	-2.262946367263794
seq_53	-2.2417449951171875
seq_54	-2.26350998878479
seq_55	-2.26350998878479
seq_56	-2.268137216567993
seq_57	-2.268137216567993
seq_58	-2.286076784133911
seq_59	-2.250555992126465
seq_60	-2.274893045425415
seq_61	-2.274893045425415
seq_62	-2.2763426303863525
seq_63	-2.259676456451416
seq_64	-2.2563743591308594
seq_65	-2.268984317779541
seq_66	-2.2601425647735596
seq_67	-2.2601425647735596
seq_68	-2.309016704559326
seq_69	-2.318193197250366
seq_70	-2.2512803077697754
seq_71	-2.2749032974243164
seq_72	-2.2696900367736816
seq_73	-2.2675540447235107
seq_74	-2.2834765911102295
seq_75	-2.284677505493164
seq_76	-2.271040201187134
seq_77	-2.2499420642852783
seq_78	-2.2499420642852783
seq_79	-2.26780104637146
seq_80	-2.276061534881592
seq_81	-2.2658376693725586
seq_82	-2.2751893997192383
seq_83	-2.2572410106658936
seq_84	-2.266059160232544
seq_85	-2.2605674266815186
seq_86	-2.265678882598877
seq_87	-2.272012710571289
seq_88	-2.253251314163208
seq_89	-2.258554458618164
seq_90	-2.2195911407470703
seq_91	-2.2195911407470703
seq_92	-2.2195911407470703
seq_93	-2.2642111778259277
seq_94	-2.237957000732422
seq_95	-2.2531509399414062
seq_96	-2.2442386150360107
seq_97	-2.2675323486328125
seq_98	-2.2554774284362793
seq_99	-2.2787630558013916
seq_100	-2.267801523208618
seq_101	-2.2518508434295654
seq_102	-2.2986083030700684
seq_103	-2.2812893390655518
seq_104	-2.2902750968933105
seq_105	-2.2902750968933105
seq_106	-2.2751145362854004
seq_107	-2.2750027179718018
seq_108	-2.256004571914673
seq_109	-2.273967981338501
