Wall time,Step,Value
1723012552.458059,200,200.0
1723013082.3032558,400,400.0
1723013611.954664,600,600.0
1723014143.229501,800,800.0
1723014675.2747843,1000,1000.0
1723015206.302404,1200,1200.0
1723015738.4105308,1400,1400.0
1723016270.6512132,1600,1600.0
1723016802.4540231,1800,1800.0
1723017333.9891906,2000,2000.0
1723017864.042828,2200,2200.0
1723018395.2652352,2400,2400.0
1723018927.1878521,2600,2600.0
1723019469.7930439,2800,2800.0
1723020005.9704475,3000,3000.0
1723020539.1593826,3200,3200.0
1723021073.0109622,3400,3400.0
1723021603.9988773,3600,3600.0
1723022136.4646597,3800,3800.0
1723022669.5690153,4000,4000.0
1723023202.5413153,4200,4200.0
1723023735.081091,4400,4400.0
1723024267.238588,4600,4600.0
1723024799.019022,4800,4800.0
1723025330.4461749,5000,5000.0
1723025868.3358696,5200,5200.0
1723026404.6690466,5400,5400.0
1723026938.8408139,5600,5600.0
1723027472.452994,5800,5800.0
1723028003.0576382,6000,6000.0
1723028535.1856132,6200,6200.0
1723029067.4747992,6400,6400.0
1723029597.8526933,6600,6600.0
1723030129.0651927,6800,6800.0
1723030661.5285406,7000,7000.0
1723031192.0463078,7200,7200.0
1723031723.8799214,7400,7400.0
1723032256.9882185,7600,7600.0
