Wall time,Step,Value
1723012552.3544703,1,764759744.0
1723013082.1118875,2,780352064.0
1723013611.7680476,3,784379712.0
1723014143.0337114,4,786684416.0
1723014675.0724943,5,790663360.0
1723015206.0810008,6,785890816.0
1723015738.1913593,7,786770816.0
1723016270.4112866,8,786484800.0
1723016802.2314909,9,786264192.0
1723017333.7713792,10,788027776.0
1723017863.831633,11,789706112.0
1723018395.0203004,12,789142592.0
1723018926.9685028,13,786755328.0
1723019469.5882552,14,787213824.0
1723020005.7113025,15,786120704.0
1723020538.891394,16,786430976.0
1723021072.7714417,17,785066368.0
1723021603.7280948,18,785093504.0
1723022136.1991837,19,786135168.0
1723022669.3344126,20,786278016.0
1723023202.2746458,21,786437440.0
1723023734.8616967,22,787533120.0
1723024267.006025,23,787678784.0
1723024798.7579176,24,787414016.0
1723025330.2124913,25,787750144.0
1723025868.096844,26,788010560.0
1723026404.429618,27,788110848.0
1723026938.612437,28,788458688.0
1723027472.2240634,29,788533696.0
1723028002.8088477,30,788902528.0
1723028534.9102023,31,788735232.0
1723029067.2458615,32,789237632.0
1723029597.6150994,33,788401024.0
1723030128.7931874,34,788187712.0
1723030661.3061337,35,788415360.0
1723031191.8245442,36,788655360.0
1723031723.6148016,37,787964608.0
1723032256.7508357,38,788023680.0
