Wall time,Step,Value
1723067297.9464707,4,4.0
1723067310.2686546,5,5.0
1723067385.3703349,11,11.0
1723067435.796215,15,15.0
1723067491.1809063,16,16.0
1723067669.5502446,19,19.0
1723067728.4508173,20,20.0
1723067741.0996811,21,21.0
1723067859.661765,23,23.0
1723067919.069845,24,24.0
1723068097.1728425,27,27.0
1723068156.7186577,28,28.0
1723068809.627263,39,39.0
1723068881.4027798,41,41.0
1723069297.2887614,48,48.0
1723069356.2495265,49,49.0
1723069415.4621506,50,50.0
1723069487.4223228,52,52.0
1723069525.3124552,55,55.0
1723069563.4591665,58,58.0
1723069601.1645398,61,61.0
1723069613.9849029,62,62.0
1723069626.6690693,63,63.0
1723069639.5459785,64,64.0
1723069664.9335153,66,66.0
1723069677.5686042,67,67.0
1723069690.0124984,68,68.0
1723069702.660639,69,69.0
1723069727.9133754,71,71.0
1723069740.5949252,72,72.0
1723069816.804249,78,78.0
1723069842.0455534,80,80.0
1723069880.1862051,83,83.0
1723069918.2347472,86,86.0
1723069968.8973591,90,90.0
1723070096.1152794,100,100.0
1723070146.9467552,104,104.0
1723070186.9474244,107,107.0
1723070199.8375037,108,108.0
1723070226.011761,110,110.0
1723070316.9607728,117,117.0
1723070381.1398466,122,122.0
1723070432.4172134,126,126.0
1723070444.8673828,127,127.0
1723070470.1182644,129,129.0
1723070495.4346259,131,131.0
1723070571.2217808,137,137.0
1723070583.9006968,138,138.0
1723070672.714004,145,145.0
1723070697.8360038,147,147.0
1723070710.4653287,148,148.0
1723070748.0401604,151,151.0
1723070836.1656332,158,158.0
1723070873.807265,161,161.0
1723070899.0994406,163,163.0
1723070924.238273,165,165.0
1723070999.8428683,171,171.0
1723071012.3814456,172,172.0
1723071025.4172912,173,173.0
1723071088.149542,178,178.0
1723071139.5402167,182,182.0
1723071177.5357406,185,185.0
1723071190.8513591,186,186.0
1723071203.509446,187,187.0
1723071254.7821941,191,191.0
1723071267.4315171,192,192.0
1723071280.7850485,193,193.0
1723071371.4429727,200,200.0
1723071409.7530675,203,203.0
1723071422.495807,204,204.0
1723071435.225406,205,205.0
1723071447.9598083,206,206.0
1723071473.4609625,208,208.0
1723071524.3784173,212,212.0
1723071549.8591907,214,214.0
1723071575.2420774,216,216.0
1723071626.3393152,220,220.0
1723071639.2174528,221,221.0
1723071651.9856179,222,222.0
1723071690.2385406,225,225.0
1723071754.0549357,230,230.0
1723071881.8429887,240,240.0
1723071907.5265253,242,242.0
1723071946.0168707,245,245.0
1723071958.7311912,246,246.0
1723071971.4960678,247,247.0
1723072073.8687105,255,255.0
1723072125.4022722,259,259.0
1723072138.5108438,260,260.0
