Wall time,Step,Value
1723067297.8284364,4,-1.6599892660451587e-07
1723067310.1428602,5,-1.3804435639030999e-07
1723067385.236061,11,-2.3299998375136965e-08
1723067435.6613374,15,-4.0849052140856656e-08
1723067491.0483477,16,-3.1590463578368144e-08
1723067669.4127328,19,-3.751955546249519e-08
1723067682.0502427,20,-3.3259393461548825e-08
1723067740.9654543,21,-1.7597562518290033e-08
1723067859.5179756,23,-1.5393547769804172e-08
1723067918.9398708,24,-1.9619863067532606e-08
1723068097.0342467,27,-2.865438020194233e-08
1723068156.5699446,28,-3.55499132353998e-08
1723068809.4793603,39,-3.4127481285395334e-08
1723068881.265062,41,-3.38583454606578e-08
1723069297.1210456,48,-2.8026599707686728e-08
1723069356.100061,49,-2.764925710607713e-08
1723069415.3123698,50,-2.6547908760221617e-08
1723069487.2727494,52,-1.832842855264971e-08
1723069525.1596456,55,-1.2993813136574772e-08
1723069563.298643,58,-1.2773892166251244e-08
1723069601.0177498,61,-1.1793902743306717e-08
1723069613.825671,62,-1.0450040832665763e-08
1723069626.5152998,63,-1.1211350070539083e-08
1723069639.3841991,64,-1.1036172864464788e-08
1723069664.7707477,66,-1.0918487447497682e-08
1723069677.3914707,67,-1.12537126284451e-08
1723069689.8559966,68,-1.0877847955725883e-08
1723069702.5042145,69,-1.0236449909939438e-08
1723069727.748871,71,-8.873536572195917e-09
1723069740.4382782,72,-7.558200287860473e-09
1723069816.646751,78,-7.924361611344466e-09
1723069841.897097,80,-8.262694528582415e-09
1723069880.0128381,83,-8.014311880799596e-09
1723069918.0620606,86,-8.178312249640385e-09
1723069968.7349622,90,-8.834732945217638e-09
1723070095.955289,100,-6.890297221673336e-09
1723070146.7934895,104,-3.6954911353248576e-10
1723070186.771438,107,-1.323223419724684e-09
1723070199.6729753,108,-8.940700402249036e-10
1723070225.8318033,110,-1.6570094185652806e-09
1723070316.7947686,117,-1.8954278147020887e-09
1723070380.9773173,122,-4.39882263947311e-09
1723070432.2543926,126,-1.645088398838368e-09
1723070444.7078984,127,9.536741396587445e-10
1723070469.9481235,129,3.7908551853149675e-09
1723070495.2588553,131,5.853175721881598e-09
1723070571.046812,137,8.18371770350268e-09
1723070583.7292461,138,8.279084973139561e-09
1723070672.5461533,145,7.021426995379443e-09
1723070697.6784177,147,8.046626476243546e-09
1723070710.295655,148,7.379054700606957e-09
1723070747.8671987,151,5.20944576365423e-09
1723070835.9940436,158,2.7835367344408724e-09
1723070873.6387036,161,2.7000903735086013e-09
1723070898.9373832,163,3.474950549531286e-09
1723070924.056009,165,2.4974344814410188e-09
1723070999.6748338,171,4.249810725553971e-09
1723071012.210836,172,3.391504188599015e-09
1723071025.2287903,173,3.844499385508016e-09
1723071087.9899335,178,5.9068199220746465e-09
1723071139.3264441,182,8.189678268877287e-09
1723071177.3624897,185,8.761882774876995e-09
1723071190.6958535,186,9.14335185342452e-09
1723071203.362713,187,8.094310999240406e-09
1723071254.6256917,191,8.678435747810909e-09
1723071267.271622,192,8.77380390562621e-09
1723071280.415972,193,8.440017573718706e-09
1723071371.2760494,200,9.596347716467335e-09
1723071409.5846682,203,9.077787410660676e-09
1723071422.3259273,204,9.840726455934146e-09
1723071435.049578,205,9.840726455934146e-09
1723071447.7943525,206,8.934736506205354e-09
1723071473.2888927,208,8.696317443934731e-09
1723071524.2129483,212,8.505582904660969e-09
1723071549.7052171,214,8.541345408730194e-09
1723071575.0844417,216,9.900331221501801e-09
1723071626.1709912,220,1.0472535727501509e-08
1723071639.048828,221,1.0281801188227746e-08
