Wall time,Step,Value
1723053404.8962526,1,-1.4305114426349519e-08
1723053416.9146552,2,1.6212463549436507e-07
1723053429.147725,3,1.7166136956348055e-07
1723053441.3364882,4,7.152556946721234e-08
1723053453.6760273,5,9.179115068036481e-08
1723053466.045822,6,6.536642160881456e-08
1723053478.4898496,7,4.649161766678844e-08
1723053490.896824,8,1.8030402060276174e-08
1723053516.0413432,10,3.349780541839209e-08
1723053528.85082,11,4.6925109131734644e-08
1723053541.5163603,12,1.658995785192019e-08
1723053566.7139044,14,2.801418119702248e-08
1723053579.1973805,15,1.3113020003174825e-08
1723053592.028024,16,8.41915426263995e-09
1723053604.7638254,17,4.8384931616851645e-09
1723053617.7015357,18,-9.669198774986398e-09
1723053630.3079624,19,-2.195960568940336e-08
1723053643.031957,20,-2.801418297337932e-08
1723053655.8320856,21,-2.8042565602959257e-08
1723053668.6896186,22,-2.3516742331253226e-08
1723053681.3568978,23,-3.0683434459888304e-08
1723053693.9494014,24,-2.7020771398156285e-08
1723053719.3104243,26,-3.796357361807168e-08
1723053732.0135958,27,-4.044285617510468e-08
1723053744.6883383,28,-4.581042745144259e-08
1723053757.521696,29,-4.916355322848176e-08
1723053770.274501,30,-3.8941699642691674e-08
1723053782.932948,31,-3.8608426677910757e-08
1723053795.4473984,32,-4.380941476256339e-08
1723053808.1795523,33,-3.7207747993761586e-08
1723053820.8246162,34,-3.9689680875198974e-08
1723053833.4556124,35,-3.991808128489538e-08
1723053846.1113958,36,-4.3643844094276574e-08
1723053858.9115794,37,-3.930684755459879e-08
1723053871.6380262,38,-3.827245365073395e-08
1723053884.2552636,39,-3.8758301457164634e-08
1723053896.8953645,40,-3.778934498654962e-08
1723053909.308203,41,-3.9542591423469275e-08
1723053934.394299,43,-3.6150908044874086e-08
1723053946.9273393,44,-3.554604077748991e-08
1723053959.649545,45,-3.4756130418145403e-08
1723053972.2296443,46,-3.431154382838031e-08
1723053985.0134673,47,-3.2972781838225274e-08
1723053997.9895434,48,-3.1590460025654465e-08
1723054010.5457213,49,-3.1140384493255624e-08
1723054023.2445726,50,-2.970695511805843e-08
1723054035.8176234,51,-2.8025869625025734e-08
1723054048.4614866,52,-2.778493346511368e-08
1723054061.0882776,53,-2.7530598245562032e-08
1723054073.5955663,54,-2.8610228852699038e-08
1723054086.2675657,55,-2.9130415413192168e-08
1723054098.9224591,56,-2.869537851779569e-08
1723054124.475476,58,-2.770588203304669e-08
1723054137.1849098,59,-2.7317110351532392e-08
1723054162.465358,61,-2.8805652974028817e-08
1723054175.2016232,62,-2.8494865134121028e-08
1723054188.2432761,63,-2.7323524776079466e-08
1723054201.1558712,64,-2.719461811295787e-08
1723054226.5339417,66,-2.615379557369124e-08
1723054239.150659,67,-2.572785540166933e-08
1723054251.693198,68,-2.612085836517508e-08
1723054264.288137,69,-2.57077417131768e-08
1723054277.0111547,70,-2.469335136368045e-08
1723054289.6513987,71,-2.4479879456862363e-08
1723054302.330992,72,-2.4471017212590596e-08
1723054315.2055204,73,-2.3711216101673926e-08
1723054327.8312426,74,-2.306860835687985e-08
1723054340.4216647,75,-2.2252400810884865e-08
1723054353.0037582,76,-2.1708638442419215e-08
1723054365.5232193,77,-2.167441515155133e-08
1723054378.424569,78,-2.1641071157318947e-08
1723054391.1429625,79,-2.160856915622844e-08
1723054403.7656245,80,-2.241134566816072e-08
1723054416.6790643,81,-2.3400341220281007e-08
1723054429.350706,82,-2.288236800040977e-08
1723054441.9519742,83,-2.2893928530720586e-08
1723054454.5270977,84,-2.2337548699624676e-08
1723054467.2171807,85,-2.2158902268643033e-08
1723054479.8814654,86,-2.1568563823848308e-08
1723054492.4180846,87,-2.175912072743813e-08
1723054504.9593089,88,-2.167441515155133e-08
1723054517.6475458,89,-2.1109419989784328e-08
1723054530.4675305,90,-2.0980834847250662e-08
1723054543.0909412,91,-2.0750276163994386e-08
1723054568.4005911,93,-2.0118168464478003e-08
1723054580.9482296,94,-2.0107055576090715e-08
1723054593.6357415,95,-2.059810988441768e-08
1723054606.2481918,96,-2.0172446824062717e-08
1723054618.9324958,97,-1.9055050870520063e-08
1723054631.6362877,98,-1.893359780069659e-08
1723054644.1709237,99,-1.8694183978595902e-08
1723054656.8264403,100,-1.774430202772237e-08
1723054669.3925416,101,-1.7410515695814865e-08
1723054681.9812894,102,-2.1129846317080592e-08
1723054694.5693502,103,-2.246498986835377e-08
1723054707.0595925,104,-1.9794700989450575e-08
1723054719.6771598,105,-2.1356344248602e-08
1723054732.3269725,106,-2.1070240663334516e-08
1723054745.0101643,107,-2.0164250713605725e-08
1723054757.9096653,108,-1.73270695569272e-08
1723054770.5327344,109,-2.0211933460245746e-08
1723054783.0206306,110,-1.9353628033513814e-08
1723054795.5361805,111,-2.1046398401836086e-08
1723054808.133676,112,-1.7684698150333134e-08
1723054820.8174772,113,-1.9615887580926028e-08
1723054845.9525237,115,-1.9401310780153835e-08
1723054858.6636674,116,-1.904368396310474e-08
1723054871.3697166,117,-1.747012134956094e-08
1723054884.0752397,118,-1.5121697671816037e-08
1723054896.865614,119,-1.2677907612612671e-08
1723054909.4387522,120,-1.105666136425043e-08
1723054922.0073917,121,-1.0818242301979808e-08
1723054934.5525756,122,-1.1342763173161075e-08
1723054947.1869726,123,-9.36388921957132e-09
1723054959.908221,124,-9.882449525377979e-09
1723054972.695139,125,-8.004903406799713e-09
1723054985.6821895,126,-6.836652577391078e-09
1723054998.3550417,127,-6.3121317062098115e-09
1723055011.0774395,128,-4.214048221484745e-09
1723055023.515378,129,-3.4511087321220657e-09
1723055035.8304355,130,-6.16908035766528e-09
1723055048.3436472,131,-6.0737130880283985e-09
1723055060.820928,132,-4.0709968729402135e-09
1723055073.5255759,133,-5.954503556893087e-09
1723055098.876046,135,-4.3094154911216265e-09
1723055112.1305664,136,-2.4855135727364086e-09
1723055124.814518,137,-3.319978514326749e-09
1723055137.4437962,138,-3.796815750689575e-09
1723055150.453917,139,-3.701448259008089e-09
1723055163.3716571,140,-3.224611022645263e-09
1723055176.099742,141,-2.127885645464289e-09
1723055188.7991917,142,-2.9623505870546296e-09
1723055201.296567,143,-2.914666952236189e-09
1723055213.876835,144,-2.771615825736262e-09
1723055226.602224,145,-3.2603739708036983e-09
1723055239.2141414,146,-3.2126901139406527e-09
1723055251.8189077,147,-5.215406329028838e-09
1723055264.453805,148,-5.477666764619471e-09
1723055277.435258,149,-5.108117928642741e-09
1723055302.780162,151,-5.728006069460889e-09
1723055328.0761733,153,-5.38229905089338e-09
1723055340.770791,154,-4.762410910075232e-09
1723055353.4551704,155,-4.142522769257084e-09
1723055366.5442774,156,-3.9994714207125526e-09
1723055379.2610102,157,-3.856420516257231e-09
1723055391.8482084,158,-4.333257308530847e-09
1723055404.546047,159,-4.094838690349434e-09
1723055417.1444533,160,-3.80873643734958e-09
1723055429.7932105,161,-2.449750846622578e-09
1723055442.408878,162,-2.449750846622578e-09
1723055455.0468009,163,-3.2842157882129186e-09
1723055467.9113119,164,-3.0219553526222853e-09
1723055480.5533462,165,-3.5226344063943316e-09
1723055493.3645914,166,-3.153085570417602e-09
1723055506.0208442,167,-3.3318994230313592e-09
1723055531.6362312,169,-3.1292437530083816e-09
1723055544.1623247,170,-4.96506658009821e-09
1723055556.7699351,171,-4.535913422643034e-09
1723055569.3972757,172,-4.535913422643034e-09
1723055582.433373,173,-5.0365924764150805e-09
1723055595.101907,174,-5.370378364233375e-09
1723055607.9895682,175,-5.584955165005567e-09
1723055620.7722807,176,-5.203485198279623e-09
1723055633.5983334,177,-5.322694729414934e-09
1723055646.3501663,178,-5.131959746051962e-09
1723055659.076349,179,-4.893541127870549e-09
1723055671.6854007,180,-3.939866655144897e-09
1723055684.3197796,181,-3.010034443917675e-09
1723055697.0430253,182,-3.224611244689868e-09
1723055709.711069,183,-3.010034443917675e-09
1723055722.299742,184,-3.3438203317359694e-09
1723055735.0173619,185,-3.1292437530083816e-09
1723055747.7880447,186,-3.3676623711897946e-09
1723055760.5895731,187,-3.397463144150237e-10
1723055785.8287437,189,-1.2516959690955787e-10
1723055798.437558,190,-3.5166722311963383e-10
1723055811.0361354,191,-5.424020677047281e-10
1723055823.769832,192,-4.291532684774779e-10
1723055836.5032668,193,-1.0490415203179282e-09
1723055849.3493128,194,-1.1444090119994144e-09
1723055862.107774,195,-4.768369588070698e-10
1723055874.869441,196,-1.0132787942040977e-09
1723055900.3353112,198,-1.037120611613318e-09
1723055913.1109824,199,-1.0848043574540611e-09
1723055926.2331119,200,-2.062320536566631e-09
1723055939.0380824,201,-2.2530552978849983e-09
1723055964.4638474,203,-3.0875202394753387e-09
1723055977.159325,204,-3.182887731156825e-09
1723055989.7613692,205,-2.7149913428559103e-09
1723056002.4640677,206,-2.142786836856203e-09
1723056015.1763494,207,-1.7136332353118178e-09
1723056027.9597678,208,-2.929567921583498e-09
1723056040.5664747,209,-3.09646108753725e-09
1723056053.224752,210,-3.024935413264984e-09
1723056066.0077026,211,-2.8222797432420066e-09
1723056078.6680655,212,-2.8938051954696675e-09
1723056091.3784554,213,-2.440809998560667e-09
1723056103.9714596,214,-2.774595886378961e-09
1723056116.6197581,215,-1.2248752012666841e-09
1723056129.2682319,216,-9.14931075346459e-10
1723056141.93711,217,-2.0116566190608864e-09
1723056167.1186883,219,-2.0712611625839372e-09
1723056179.8463504,220,-2.0235775277654966e-09
1723056192.500152,221,-1.49905665658423e-09
1723056205.3087213,222,-1.0341403289260143e-09
1723056218.056504,223,-9.030101666418489e-10
1723056230.668601,224,-1.6719100548456822e-09
1723056243.3066585,225,-1.4275309823119642e-09
1723056255.9736176,226,-1.4513727997211845e-09
1723056268.6808305,227,-1.2606379273805146e-09
1723056294.0717247,229,-6.854511402920593e-11
