Wall time,Step,Value
1723012552.4582188,1,1.0
1723013082.3034368,2,2.0
1723013611.9548235,3,3.0
1723014143.2296715,4,4.0
1723014675.2749557,5,5.0
1723015206.3026001,6,6.0
1723015738.4107115,7,7.0
1723016270.6513696,8,8.0
1723016802.4542344,9,9.0
1723017333.9893422,10,10.0
1723017864.0429947,11,11.0
1723018395.2653885,12,12.0
1723018927.1880279,13,13.0
1723019469.7932382,14,14.0
1723020005.970795,15,15.0
1723020539.1595528,16,16.0
1723021073.0111356,17,17.0
1723021603.9990258,18,18.0
1723022136.4648376,19,19.0
1723022669.5692592,20,20.0
1723023202.5414786,21,21.0
1723023735.0812228,22,22.0
1723024267.2387362,23,23.0
1723024799.0191972,24,24.0
1723025330.4463682,25,25.0
1723025868.3360496,26,26.0
1723026404.6692255,27,27.0
1723026938.8409681,28,28.0
1723027472.453175,29,29.0
1723028003.0578134,30,30.0
1723028535.1857882,31,31.0
1723029067.4749796,32,32.0
1723029597.8528688,33,33.0
1723030129.0653708,34,34.0
1723030661.5287163,35,35.0
1723031192.0464814,36,36.0
1723031723.880083,37,37.0
1723032256.9883907,38,38.0
