Wall time,Step,Value
1723012551.168563,200,-108993.0625
1723013081.3120282,400,-110464.4375
1723013610.9827774,600,-111091.5
1723014142.2209396,800,-110983.40625
1723014674.2593637,1000,-111906.6796875
1723015205.286717,1200,-108487.8671875
1723015737.353783,1400,-110728.3828125
1723016269.6095932,1600,-110646.1953125
1723016801.3930836,1800,-110446.171875
1723017332.989377,2000,-111747.3203125
1723017863.0336788,2200,-111522.1640625
1723018394.2098255,2400,-110055.5234375
1723018926.1806018,2600,-108390.7421875
1723019468.7450747,2800,-110648.5
1723020004.9088538,3000,-109516.328125
1723020538.0742013,3200,-110886.7109375
1723021071.9659083,3400,-108697.6875
1723021602.9328308,3600,-110366.265625
1723022135.3936632,3800,-111775.390625
1723022668.5216258,4000,-110856.4765625
1723023201.4682832,4200,-110680.7578125
1723023734.057946,4400,-112293.4453125
1723024266.1929235,4600,-110595.84375
1723024797.9648738,4800,-109950.1640625
1723025329.3847027,5000,-111030.125
1723025867.2865374,5200,-111201.3828125
1723026403.613323,5400,-110908.171875
1723026937.819863,5600,-111552.8203125
1723027471.4229093,5800,-110723.765625
1723028001.975091,6000,-110996.0234375
1723028534.0900347,6200,-110322.5703125
1723029066.437941,6400,-111608.8984375
1723029596.8013573,6600,-108977.96875
1723030128.0002568,6800,-110270.3359375
1723030660.5076325,7000,-111092.2734375
1723031191.0179813,7200,-111298.546875
1723031722.83348,7400,-108904.4921875
1723032255.9193754,7600,-110517.6328125
