Wall time,Step,Value
1723012552.3545353,1,1.9073485191256623e-07
1723013082.111942,2,1.8358230136072962e-07
1723013611.768113,3,1.1603037108898206e-07
1723014143.033771,4,1.0251998361354708e-07
1723014675.0725589,5,7.915496524901755e-08
1723015206.081059,6,6.834665811084051e-08
1723015738.1914234,7,1.0192393773422737e-07
1723016270.4113512,8,9.395181876925562e-08
1723016802.2315588,9,8.298290765651473e-08
1723017333.7714431,10,9.32812653786641e-08
1723017863.8316903,11,1.0387463333927371e-07
1723018395.0204504,12,9.124477173827472e-08
1723018926.9685698,13,7.762358222862531e-08
1723019469.5883183,14,6.943940888959332e-08
1723020005.7113674,15,6.80287683962888e-08
1723020538.8914623,16,7.629394360719743e-08
1723021072.7715042,17,6.332116697649326e-08
1723021603.7281606,18,4.735257874699528e-08
1723022136.1992452,19,4.335453596127081e-08
1723022669.3344786,20,5.1200387929384306e-08
1723023202.2747052,21,5.3019750367866436e-08
1723023734.8617752,22,3.993510944155787e-08
1723024267.0060868,23,4.5040376761562584e-08
1723024798.757978,24,4.673997366921867e-08
1723025330.2125585,25,5.898475663457248e-08
1723025868.096906,26,6.350187220505177e-08
1723026404.4296896,27,7.179048111538577e-08
1723026938.612497,28,8.012567320747621e-08
1723027472.2241273,29,8.05690376637358e-08
1723028002.8089132,30,8.837381670900868e-08
1723028534.9103086,31,8.636904880177099e-08
1723029067.2459188,32,8.538365392496416e-08
1723029597.6151829,33,8.698665254769367e-08
1723030128.793252,34,8.919659677530944e-08
1723030661.3061965,35,9.131431255582356e-08
1723031191.8246045,36,8.897648484662568e-08
1723031723.6148872,37,8.708721566108579e-08
1723032256.7509031,38,9.044220661280633e-08
