Wall time,Step,Value
1723012552.354556,1,1529519488.0
1723013082.1119595,2,1560704128.0
1723013611.7681332,3,1568759424.0
1723014143.0337887,4,1573368832.0
1723014675.0725803,5,1581326720.0
1723015206.0810766,6,1571781632.0
1723015738.191444,7,1573541632.0
1723016270.4113727,8,1572969600.0
1723016802.231579,9,1572528384.0
1723017333.7714639,10,1576055552.0
1723017863.8317251,11,1579412224.0
1723018395.020479,12,1578285184.0
1723018926.968588,13,1573510656.0
1723019469.5883386,14,1574427648.0
1723020005.7113888,15,1572241408.0
1723020538.8914855,16,1572861952.0
1723021072.7715244,17,1570132736.0
1723021603.7281814,18,1570187008.0
1723022136.1992648,19,1572270336.0
1723022669.3344994,20,1572556032.0
1723023202.2747226,21,1572874880.0
1723023734.861796,22,1575066240.0
1723024267.0061224,23,1575357568.0
1723024798.7579975,24,1574828032.0
1723025330.2125783,25,1575500288.0
1723025868.096926,26,1576021120.0
1723026404.4297092,27,1576221696.0
1723026938.6125145,28,1576917376.0
1723027472.2241483,29,1577067392.0
1723028002.808935,30,1577805056.0
1723028534.9103343,31,1577470464.0
1723029067.2459354,32,1578475264.0
1723029597.6152036,33,1576802048.0
1723030128.793272,34,1576375424.0
1723030661.3062167,35,1576830720.0
1723031191.824622,36,1577310720.0
1723031723.614912,37,1575929216.0
1723032256.750923,38,1576047360.0
